notice_id,portal_id,configuration,candidate_count
N007190,P228,32x4,0
N007191,P004,32x4,108
N007193,P002,32x4,289
N007201,P010,32x4,0
N007205,P061,32x4,1
N007207,P136,32x4,1
N007220,P088,32x4,1
N007223,P179,32x4,1
N007233,P005,32x4,150
N007247,P003,32x4,87
N007292,P049,32x4,2
N007300,P001,32x4,136
N007303,P002,32x4,225
N007306,P004,32x4,184
N007313,P205,32x4,0
N007325,P153,32x4,0
N007327,P232,32x4,0
N007334,P094,32x4,1
N007335,P147,32x4,1
N007343,P004,32x4,0
N007366,P184,32x4,2
N007368,P004,32x4,11
N007376,P003,32x4,49
N007382,P003,32x4,46
N007387,P244,32x4,8
N007391,P211,32x4,0
N007396,P094,32x4,1
N007397,P096,32x4,1
N007428,P088,32x4,8
N007430,P005,32x4,137
N007431,P006,32x4,13
N007449,P002,32x4,12
N007453,P168,32x4,4
N007454,P004,32x4,120
N007457,P122,32x4,4
N007461,P003,32x4,32
N007467,P065,32x4,0
N007477,P001,32x4,45
N007478,P004,32x4,26
N007487,P020,32x4,1
N007491,P005,32x4,129
N007497,P005,32x4,14
N007499,P189,32x4,1
N007528,P066,32x4,7
N007541,P020,32x4,0
N007546,P004,32x4,80
N007552,P127,32x4,0
N007557,P003,32x4,59
N007560,P002,32x4,138
N007561,P094,32x4,1
N007568,P240,32x4,4
N007570,P005,32x4,152
N007573,P088,32x4,4
N007574,P006,32x4,94
N007575,P003,32x4,160
N007614,P005,32x4,311
N007615,P006,32x4,122
N007616,P041,32x4,1
N007620,P004,32x4,25
N007621,P113,32x4,1
N007633,P051,32x4,2
N007637,P005,32x4,54
N007639,P137,32x4,0
N007645,P030,32x4,0
N007647,P001,32x4,190
N007652,P005,32x4,340
N007668,P002,32x4,131
N007681,P005,32x4,188
N007687,P006,32x4,120
N007701,P005,32x4,260
